Ensembl ID	Gene name	seqid	intervals	strand	location
ENSMUSG00000021270	Hsp90aa1	chr12	110599242-110656708	-	Elongated 3` end
ENSMUSG00000041886	Macc1	chr12	119288127-119355930	-	Divergent transcript
		chr12	119529143-119566462	+	De novo intergenic
ENSMUSG00000020590	Snx13	chr12	35039448-35098253	-	Antisense RNA
ENSMUSG00000037486	Asxl2	chr12	3567132-3567378	+	Elongated 3` end
ENSMUSG00000036257	Pnpla8	chr12	44266263-44316182	-	Antisense RNA
ENSMUSG00000020950	Foxg1	chr12	49341844-49429337	-	Divergent transcript
		chr12	54757039-54785679	+	U1-cluster[Elongated 3` end]
		chr12	54757039-54785679	-	U1-cluster[Elongated 3` end]
ENSMUSG00000048285	Frmd6	chr12	70809320-70872650	-	Antisense RNA
ENSMUSG00000063450	Syne2	chr12	75808417-75865465	-	Antisense RNA
ENSMUSG00000015143	Actn1	chr12	80308584-80363623	+	Antisense RNA
ENSMUSG00000037669	Ldah	chr12	8153837-8257989	-	Antisense RNA
		chr12	8198038-8253840	+	De novo intergenic
ENSMUSG00000010608	Rbm25	chr12	83644567-83668825	-	Divergent transcript
ENSMUSG00000021037	Ahsa1	chr12	87338430-87339958	+	Elongated 3` end
ENSMUSG00000097917	Gm26839	chr12	99421651-99529959	-	Divergent transcript
ENSMUSG00000046169	Adamts6	chr13	104385907-104424285	-	Antisense RNA
ENSMUSG00000021715	Cwc27	chr13	104820564-104913317	+	Antisense RNA
ENSMUSG00000042348	Arl15	chr13	113853141-113931245	-	Divergent transcript
ENSMUSG00000021725	Parp8	chr13	116704528-116985992	-	Elongated 3` end
ENSMUSG00000021725	Parp8	chr13	117161312-117205790	+	Divergent transcript
ENSMUSG00000093930	Hmgcs1	chr13	120115432-120151847	-	Antisense RNA
		chr13	12716579-12846466	+	Unannotated RNA
		chr13	12923419-13024604	+	Unannotated RNA
		chr13	13116568-13183434	+	Unannotated RNA
ENSMUSG00000067455	H4c11	chr13	21933498-21933982	+	Elongated 3` end
		chr13	22004696-22017807	+	Unannotated RNA
ENSMUSG00000069305	H4c18	chr13	22011874-22012298	-	Elongated 3` end
ENSMUSG00000036376	Abt1	chr13	23560807-23564875	-	Elongated 3` end
ENSMUSG00000100210	H3c7	chr13	23730355-23737286	+	Elongated 3` end
ENSMUSG00000058385	H2bc8	chr13	23756517-23757985	+	Elongated 3` end
ENSMUSG00000069268	H2bc7	chr13	23756542-23756950	-	Elongated 3` end
		chr13	33484083-33507481	-	De novo intergenic
ENSMUSG00000039114	Nrn1	chr13	36910952-37183425	+	Antisense RNA
ENSMUSG00000021360	Gcnt2	chr13	41027738-41070873	-	Antisense RNA
		chr13	48667023-48683650	-	Elongated 3` end
ENSMUSG00000114035	Gm31126	chr13	50444705-50444964	+	Elongated 3` end
		chr13	50716586-50784716	-	Unannotated RNA
ENSMUSG00000047547	Cltb	chr13	54759022-54769477	+	Antisense RNA
		chr13	5535976-5553567	-	De novo intergenic
ENSMUSG00000000078	Klf6	chr13	5770423-5911154	-	Divergent transcript
		chr13	74610822-74649837	+	De novo intergenic
		chr13	74669891-74683628	-	Unclear intergenic
ENSMUSG00000113204	Gm46430	chr13	74729994-74752085	-	Elongated 3` end
ENSMUSG00000021585	Cast	chr13	74956448-75035999	+	Antisense RNA
ENSMUSG00000069171	Nr2f1	chr13	78347276-78428223	+	Antisense RNA
ENSMUSG00000021549	Rasa1	chr13	85443952-85552815	+	Antisense RNA
ENSMUSG00000021706	Zfyve16	chr13	92607400-92608065	-	Elongated 3` end
ENSMUSG00000033083	Tbc1d4	chr14	101677015-101677190	-	Elongated 3` end
ENSMUSG00000022119	Rbm26	chr14	105270533-105342077	-	Elongated 3` end
ENSMUSG00000022114	Spry2	chr14	106134569-106206312	+	Antisense RNA
ENSMUSG00000051615	Rap2a	chr14	120658664-120715559	-	Antisense RNA
ENSMUSG00000021994	Wnt5a	chr14	28213409-28219180	-	Antisense RNA
ENSMUSG00000021891	Mettl6	chr14	31163654-31164082	-	Elongated 3` end
ENSMUSG00000041408	Wapl	chr14	34346055-34395846	-	Antisense RNA
ENSMUSG00000041028	Ghitm	chr14	36857057-36944346	+	Antisense RNA
ENSMUSG00000021831	Ero1a	chr14	45497179-45499573	-	Elongated 3` end
ENSMUSG00000000957	Mmp14	chr14	54655342-54670730	-	Antisense RNA
ENSMUSG00000021967	Mrpl57	chr14	58077087-58077767	+	Elongated 3` end
ENSMUSG00000017485	Top2b	chr14	6103547-6156793	+	Divergent transcript
ENSMUSG00000021978	Extl3	chr14	65383160-65385355	-	Intron
ENSMUSG00000000776	Polr3d	chr14	70684029-70685612	+	Antisense RNA
		chr14	76040655-76072715	-	De novo intergenic
		chr14	9445920-9465079	+	De novo intergenic
ENSMUSG00000055639	Dach1	chr14	98406717-98491644	+	Antisense RNA
ENSMUSG00000023027	Atf1	chr15	100049500-100125652	-	Divergent transcript
ENSMUSG00000001288	Rarg	chr15	102166174-102178735	+	Antisense RNA
ENSMUSG00000001280	Sp1	chr15	102284143-102314433	-	Antisense RNA
ENSMUSG00000023055	Calcoco1	chr15	102630664-102645114	+	Antisense RNA
ENSMUSG00000036061	Smug1	chr15	103015811-103061328	-	Elongated 3` end
		chr15	13814241-14016014	+	Unannotated RNA
ENSMUSG00000040452	Cdh12	chr15	20451307-20633378	+	Intron
ENSMUSG00000022255	Mtdh	chr15	33869230-34082566	-	Divergent transcript
ENSMUSG00000062397	Zfp706	chr15	37007682-37077446	+	Divergent transcript
ENSMUSG00000037487	Ubr5	chr15	38079309-38160220	+	Antisense RNA
ENSMUSG00000022306	Zfpm2	chr15	40450935-40520191	-	Divergent transcript
ENSMUSG00000022337	Emc2	chr15	43235699-43341791	-	Antisense RNA
		chr15	54485214-54673762	-	Unclear intergenic
		chr15	60894430-61062562	-	Unannotated RNA
ENSMUSG00000116380	Gm39556	chr15	74763335-74806278	-	Antisense RNA
ENSMUSG00000075600	Zc3h3	chr15	75718989-75728415	+	Antisense RNA
ENSMUSG00000055041	Commd5	chr15	76757834-76785238	-	Antisense RNA
ENSMUSG00000055024	Ep300	chr15	81413943-81470276	-	Antisense RNA
ENSMUSG00000022621	Rabl2	chr15	89470824-89507775	+	Antisense RNA
ENSMUSG00000022634	Yaf2	chr15	93234997-93287732	+	Divergent transcript
ENSMUSG00000037965	Zc3h7a	chr16	10993582-11012255	+	Divergent transcript
ENSMUSG00000062203	Gspt1	chr16	11071003-11126925	+	Antisense RNA
ENSMUSG00000022858	Tra2b	chr16	22036886-22037507	-	Elongated 3` end
ENSMUSG00000022878	Adipoq	chr16	22977107-23039251	+	Elongated 3` end
ENSMUSG00000022533	Atp13a3	chr16	30207479-30244190	+	Divergent transcript
ENSMUSG00000022811	Zfp148	chr16	33140693-33201300	-	Antisense RNA
		chr16	42359320-42409157	+	De novo intergenic
		chr16	42359320-42409157	-	De novo intergenic
ENSMUSG00000014303	Glis2	chr16	4397852-4412378	-	Antisense RNA
ENSMUSG00000055447	Cd47	chr16	49600607-49679583	-	Antisense RNA
ENSMUSG00000068196	Col8a1	chr16	57576932-57645475	+	Divergent transcript
ENSMUSG00000035107	Dcbld2	chr16	58162230-58229090	-	Divergent transcript
		chr16	64931755-65157634	+	De novo intergenic
ENSMUSG00000091243	Vgll3	chr16	65559657-65611688	-	Antisense RNA
		chr16	77314407-77563804	+	Unannotated RNA
		chr16	79387831-79548241	+	Unannotated RNA
ENSMUSG00000022892	App	chr16	84977392-85067759	+	Antisense RNA
ENSMUSG00000022897	Dyrk1a	chr16	94329038-94371213	-	Antisense RNA
ENSMUSG00000023883	Phf10	chr17	15182518-15198470	+	Divergent transcript
ENSMUSG00000036552	Ermard	chr17	15262145-15275505	-	Antisense RNA
ENSMUSG00000120995	Gm51425	chr17	17226093-17257268	+	Intron
ENSMUSG00000120995	Gm51425	chr17	17262519-17282992	+	Elongated 3` end
	Gm38396	chr17	17426757-17454941	+	Elongated 3` end
ENSMUSG00000116802	Gm5165	chr17	17503041-17512043	+	Elongated 3` end
ENSMUSG00000080316	Spaca6	chr17	17843867-18048201	-	Divergent transcript
ENSMUSG00000023845	Lnpep	chr17	17843867-18048201	+	Divergent transcript
ENSMUSG00000007564	Ppp2r1a	chr17	21083322-21165945	-	Antisense RNA
ENSMUSG00000117183	Gm20008	chr17	22853892-22926877	-	Elongated 3` end
ENSMUSG00000117333	Gm16386	chr17	22959343-22965103	-	Elongated 3` end
ENSMUSG00000117333	Gm16386	chr17	23040151-23060312	+	Divergent transcript
ENSMUSG00000039218	Srrm2	chr17	24011498-24022089	+	Intron
ENSMUSG00000093565	Rab26os	chr17	24747896-24768861	+	Elongated 3` end
ENSMUSG00000041130	Zfp598	chr17	24877660-24888616	-	Divergent transcript
ENSMUSG00000007021	Syngr3	chr17	24901047-24903539	-	Elongated 3` end
ENSMUSG00000015575	Atp6v0e	chr17	26924223-26924983	+	Elongated 3` end
ENSMUSG00000046711	Hmga1	chr17	27734012-27775589	-	Divergent transcript
ENSMUSG00000052146	Rps10	chr17	27845548-27848930	-	Elongated 3` end
ENSMUSG00000004864	Mapk13	chr17	28966870-28989071	-	Antisense RNA
ENSMUSG00000005936	Kctd20	chr17	29121471-29171390	-	Antisense RNA
ENSMUSG00000071172	Srsf3	chr17	29228310-29251508	-	Divergent transcript
		chr17	29323077-29324416	-	De novo intergenic
ENSMUSG00000024014	Pim1	chr17	29687146-29710039	-	Antisense RNA
		chr17	3078310-3089226	-	Unclear intergenic
ENSMUSG00000006705	Pknox1	chr17	31826862-31848033	+	Elongated 3` end
ENSMUSG00000095325	Zfp870	chr17	33083611-33085252	-	Elongated 3` end
ENSMUSG00000094441	Zfp955a	chr17	33368265-33455210	-	Elongated 3` end
ENSMUSG00000055240	Zfp101	chr17	33613240-33692116	+	Antisense RNA
ENSMUSG00000091971	Hspa1a	chr17	35185188-35185875	-	Elongated 3` end
ENSMUSG00000120992	D17H6S56E-5	chr17	35191334-35215599	-	Elongated 3` end
ENSMUSG00000007041	Clic1	chr17	35267565-35269211	-	Antisense RNA
ENSMUSG00000043311	D17H6S53E	chr17	35351898-35352301	+	Elongated 3` end
ENSMUSG00000034595	Ppp1r18	chr17	36158117-36181798	-	Antisense RNA
ENSMUSG00000092368	A930015D03Rik	chr17	36305546-36320435	+	Intron
ENSMUSG00000045409	Trim39	chr17	36582170-36630162	+	Divergent transcript
ENSMUSG00000036430	Tbcc	chr17	47211969-47221148	+	Elongated 3` end
ENSMUSG00000023980	Taf8	chr17	47789530-47790267	-	Elongated 3` end
ENSMUSG00000023988	Bysl	chr17	47900395-47901094	-	Elongated 3` end
ENSMUSG00000069729	Arid1b	chr17	4990768-5043784	-	Antisense RNA
ENSMUSG00000017831	Rab5a	chr17	53770185-53786637	-	Antisense RNA
ENSMUSG00000003208	Yju2	chr17	56256945-56266383	-	Divergent transcript
ENSMUSG00000002833	Hdgfl2	chr17	56382319-56386581	-	Divergent transcript
ENSMUSG00000047123	Ticam1	chr17	56572583-56573331	-	Elongated 3` end
ENSMUSG00000038141	Tmem181a	chr17	6269195-6320762	-	Antisense RNA
ENSMUSG00000034647	Ankrd12	chr17	66384130-66415553	+	Antisense RNA
ENSMUSG00000047407	Tgif1	chr17	70969514-71116406	-	Elongated 3` end
ENSMUSG00000047407	Tgif1	chr17	71158736-71182532	+	Antisense RNA
ENSMUSG00000024054	Smchd1	chr17	71634371-71651354	-	Elongated 3` end
ENSMUSG00000058704	Memo1	chr17	74602012-74645085	+	Divergent transcript
ENSMUSG00000024067	Dpy30	chr17	74623047-74642996	+	Antisense RNA
ENSMUSG00000005371	Fbxo11	chr17	88371326-88432214	+	Antisense RNA
		chr17	94531382-94577488	-	Unannotated RNA
ENSMUSG00000066057	Gm1976	chr17	95142230-95171709	+	Antisense RNA
ENSMUSG00000095193	Gm20939	chr17	95142815-95172278	-	Antisense RNA
ENSMUSG00000024290	Rock1	chr18	10182165-10313791	+	Divergent transcript
		chr18	11773846-11783369	-	De novo intergenic
		chr18	13351118-13817377	+	Unannotated RNA
ENSMUSG00000054321	Taf4b	chr18	15039518-15191536	+	Elongated 3` end
ENSMUSG00000041915	Ammecr1l	chr18	31860694-31870897	-	Antisense RNA
ENSMUSG00000024382	Ercc3	chr18	32308412-32372731	-	Antisense RNA
ENSMUSG00000038299	Wdr36	chr18	32797565-32969943	-	Divergent transcript
ENSMUSG00000014504	Srp19	chr18	34451463-34463942	-	Antisense RNA
ENSMUSG00000042660	Wdr55	chr18	36909782-36912147	+	Elongated 3` end
ENSMUSG00000024235	Map3k8	chr18	4353015-4375100	+	Divergent transcript
		chr18	56394603-56450576	-	De novo intergenic
ENSMUSG00000045730	Adrb2	chr18	62171894-62309847	-	Elongated 3` end
ENSMUSG00000024583	Txnl1	chr18	63825508-63838433	+	Antisense RNA
ENSMUSG00000079614	Seh1l	chr18	67858868-67908147	-	Antisense RNA
ENSMUSG00000025880	Smad7	chr18	75404640-75500536	-	Antisense RNA
ENSMUSG00000025428	Atp5f1a	chr18	77870608-77882234	+	Elongated 3` end
		chr18	79850553-79865573	+	Unannotated RNA
		chr18	89852098-89861842	+	De novo intergenic
ENSMUSG00000047044	D030056L22Rik	chr19	18700501-18700714	+	Elongated 3` end
ENSMUSG00000013663	Pten	chr19	32724356-32728933	-	Antisense RNA
ENSMUSG00000040565	Btaf1	chr19	36863147-36903402	-	Antisense RNA
ENSMUSG00000024843	Chka	chr19	3872479-3902469	-	Antisense RNA
ENSMUSG00000045098	Kmt5b	chr19	3875932-3877354	+	Elongated 3` end
ENSMUSG00000047604	Frat2	chr19	41833145-41833727	-	Elongated 3` end
		chr19	4307462-4389130	+	Antisense RNA
ENSMUSG00000074811	Hps6	chr19	45996063-46006380	+	Elongated 3` end
ENSMUSG00000055491	Pprc1	chr19	46034434-46045615	-	Divergent transcript
ENSMUSG00000055491	Pprc1	chr19	46063490-46063970	+	Elongated 3` end
ENSMUSG00000056481	Cd248	chr19	5125603-5128863	+	Elongated 3` end
ENSMUSG00000034765	Dusp5	chr19	53450485-53517773	-	Antisense RNA
ENSMUSG00000039148	Sart1	chr19	5438378-5456650	+	Divergent transcript
ENSMUSG00000056201	Cfl1	chr19	5564076-5564487	+	Elongated 3` end
ENSMUSG00000024940	Ltbp3	chr19	5784718-5792214	-	Antisense RNA
ENSMUSG00000024941	Scyl1	chr19	5826339-5835340	+	Antisense RNA
ENSMUSG00000033417	Cacul1	chr19	60568385-60598034	+	Antisense RNA
ENSMUSG00000003228	Grk5	chr19	61094367-61094778	+	Elongated 3` end
ENSMUSG00000024772	Ehd1	chr19	6299613-6328445	-	Divergent transcript
ENSMUSG00000024949	Sf1	chr19	6401207-6414402	-	Antisense RNA
ENSMUSG00000036278	Macrod1	chr19	7031708-7032476	-	Antisense RNA
ENSMUSG00000024764	Naa40	chr19	7195415-7197342	-	Elongated 3` end
ENSMUSG00000027184	Caprin1	chr2	103626393-103730734	+	Antisense RNA
ENSMUSG00000027180	Fbxo3	chr2	103898690-103898951	+	Elongated 3` end
ENSMUSG00000027170	Eif3m	chr2	104813595-104814251	-	Elongated 3` end
		chr2	117295765-117524905	+	Unannotated RNA
ENSMUSG00000027304	Rtf1	chr2	119493622-119505653	-	Divergent transcript
ENSMUSG00000027285	Haus2	chr2	120452083-120456598	+	Elongated 3` end
ENSMUSG00000026767	Mindy3	chr2	12424025-12495750	+	Antisense RNA
ENSMUSG00000027405	Nop56	chr2	130072717-130142954	-	Divergent transcript
ENSMUSG00000068130	Zfp442	chr2	150165697-150185030	-	Elongated 3` end
ENSMUSG00000053916	Nanp	chr2	150881432-150933073	+	Antisense RNA
ENSMUSG00000074698	Csnk2a1	chr2	152031882-152068809	-	Antisense RNA
ENSMUSG00000074656	Eif2s2	chr2	154734279-154744035	+	Divergent transcript
ENSMUSG00000038383	Pigu	chr2	155109672-155111621	-	Elongated 3` end
ENSMUSG00000061689	Dlgap4	chr2	156502329-156563384	-	Antisense RNA
ENSMUSG00000067787	Blcap	chr2	157408400-157452386	+	Antisense RNA
ENSMUSG00000074622	Mafb	chr2	160099174-160204973	-	Elongated 3` end
ENSMUSG00000017760	Ctsa	chr2	164715119-164715983	+	Elongated 3` end
		chr2	174853780-174993294	-	Znf-cluster[Elongated 3` end]
		chr2	174853780-174993294	+	Znf-cluster[Elongated 3` end]
		chr2	175061013-175085278	-	Znf-cluster[De novo intergenic]
		chr2	175099305-175205104	-	Znf-cluster[Elongated 3` end]
		chr2	175099305-175205104	+	Znf-cluster[Elongated 3` end]
		chr2	175211513-175344760	+	Znf-cluster[Elongated 3` end]
		chr2	175211513-175344760	-	Znf-cluster[Elongated 3` end]
		chr2	175425695-175501317	+	Znf-cluster[Elongated 3` end]
		chr2	175425695-175501317	-	Znf-cluster[Elongated 3` end]
		chr2	175526131-175602199	-	Znf-cluster[Elongated 3` end]
		chr2	175526131-175602199	+	Znf-cluster[Elongated 3` end]
		chr2	175660388-175725046	-	Znf-cluster[Elongated 3` end]
		chr2	175660388-175725046	+	Znf-cluster[Elongated 3` end]
		chr2	175828774-175899762	+	Znf-cluster[Elongated 3` end]
		chr2	175828774-175899762	-	Znf-cluster[Elongated 3` end]
		chr2	176016945-176064273	+	Znf-cluster[Elongated 3` end]
		chr2	176016945-176064273	-	Znf-cluster[Elongated 3` end]
		chr2	176109838-176181913	-	Znf-cluster[Elongated 3` end]
		chr2	176109838-176181913	+	Znf-cluster[Elongated 3` end]
		chr2	176209868-176329876	+	Znf-cluster[Elongated 3` end]
		chr2	176209868-176329876	-	Znf-cluster[Elongated 3` end]
		chr2	176494923-176569987	-	Znf-cluster[Elongated 3` end]
		chr2	176494923-176569987	+	Znf-cluster[Elongated 3` end]
		chr2	176690824-176803659	+	Znf-cluster[Elongated 3` end]
		chr2	176690824-176803659	-	Znf-cluster[Elongated 3` end]
		chr2	176810419-176900674	-	Znf-cluster[Elongated 3` end]
		chr2	176810419-176900674	+	Znf-cluster[Elongated 3` end]
		chr2	176989603-177069918	-	Znf-cluster[Elongated 3` end]
		chr2	176989603-177069918	+	Znf-cluster[Elongated 3` end]
		chr2	177154841-177242139	+	Znf-cluster[Elongated 3` end]
		chr2	177154841-177242139	-	Znf-cluster[Elongated 3` end]
		chr2	177361856-177507357	+	Znf-cluster[Elongated 3` end]
		chr2	177361856-177507357	-	Znf-cluster[Elongated 3` end]
		chr2	177522721-177637078	-	Znf-cluster[Elongated 3` end]
		chr2	177522721-177637078	+	Znf-cluster[Elongated 3` end]
		chr2	177661223-177726321	+	Znf-cluster[Elongated 3` end]
		chr2	177661223-177726321	-	Znf-cluster[Elongated 3` end]
ENSMUSG00000039117	Taf4	chr2	179618617-179660105	+	Divergent transcript
ENSMUSG00000038963	Slco4a1	chr2	180031087-180097454	-	Antisense RNA
ENSMUSG00000026743	Mllt10	chr2	18053884-18069052	-	Antisense RNA
ENSMUSG00000051154	Commd3	chr2	18622742-18682159	-	Antisense RNA
ENSMUSG00000043415	Otud1	chr2	19585544-19663367	-	Divergent transcript
ENSMUSG00000026784	Pdss1	chr2	22764125-22785994	-	Divergent transcript
ENSMUSG00000120369	Snhg7	chr2	26502716-26503154	-	Elongated 3` end
ENSMUSG00000054766	Set	chr2	29939416-29952818	-	Antisense RNA
ENSMUSG00000015337	Endog	chr2	30071746-30078640	+	Elongated 3` end
ENSMUSG00000039648	Kyat1	chr2	30095795-30109233	+	Antisense RNA
ENSMUSG00000000194	Gpr107	chr2	31032115-31042298	-	Divergent transcript
ENSMUSG00000039262	Prrc2b	chr2	32001151-32041250	-	Antisense RNA
ENSMUSG00000026864	Hspa5	chr2	34645782-34661937	-	Antisense RNA
		chr2	34730036-34741953	+	Elongated 3` end
ENSMUSG00000063972	Nr6a1	chr2	38674835-38762061;38775693-38814484	-	Intron
ENSMUSG00000063972	Nr6a1	chr2	38713169-38807494	+	Antisense RNA
ENSMUSG00000026753	Ppp6c	chr2	39116495-39205262	+	Divergent transcript
